time,Azimuth:,Pitch:,Roll:
0.662,120.223,2.134,-2.184
1.661,121.237,2.171,-2.149
2.660,121.270,1.984,-2.031
3.660,121.910,2.017,-2.154
4.659,121.853,2.297,-2.528
5.659,122.400,1.870,-2.229
6.658,121.941,0.659,-5.580
7.657,124.399,4.128,-0.572
8.673,123.989,10.871,-0.588
9.672,124.288,15.554,0.105
10.672,124.471,20.520,-0.236
11.672,124.527,21.138,-0.737
12.671,126.437,24.885,-1.952
13.670,127.767,26.536,-2.787
14.669,127.393,28.656,-3.524
15.669,128.838,27.603,-3.895
16.667,129.717,29.060,-4.371
17.667,129.681,28.037,-4.060
18.667,129.440,24.875,-3.047
19.666,127.966,21.145,-1.459
20.666,126.325,14.108,-1.691
21.665,126.476,8.605,-2.972
22.664,125.042,5.380,-2.724
23.663,125.687,2.836,-2.181
24.662,126.194,-7.829,-1.828
25.662,127.872,-16.883,-3.111
26.661,128.301,-20.318,-4.315
27.677,128.528,-21.143,-4.567
28.676,128.553,-22.433,-4.439
29.677,128.163,-25.041,-3.763
30.675,128.533,-20.406,-4.895
31.675,129.383,-12.054,-4.826
32.674,127.337,-3.932,-4.048
33.673,127.006,-2.009,-2.593
34.672,126.739,-2.196,8.812
35.672,127.419,-1.824,18.809
36.672,127.747,0.436,24.410
37.670,126.238,0.092,28.731
38.671,127.500,0.392,30.943
39.669,128.042,0.084,31.202
40.669,127.045,0.086,31.952
41.668,127.369,0.129,30.827
42.667,127.277,0.470,21.920
43.666,127.089,0.287,8.561
44.665,124.749,1.436,0.585
45.681,125.235,2.007,-2.470
46.681,124.247,1.577,-10.459
47.681,125.244,1.795,-21.717
48.680,125.290,1.710,-28.387
49.679,127.418,3.816,-31.093
50.679,127.345,3.018,-33.157
51.678,127.303,2.243,-33.757
52.677,127.501,3.268,-35.189
53.676,126.926,2.638,-38.045
54.675,128.429,1.587,-39.636
55.675,127.979,1.670,-40.730
56.674,126.618,1.715,-28.061
57.673,125.175,-0.137,-15.418
58.673,124.713,-1.143,-12.783
59.672,124.166,-0.811,-8.805
60.672,124.257,-0.344,-7.646
61.671,129.920,-0.682,-7.259
62.670,136.591,-0.690,-6.901
63.686,141.669,-2.813,-6.800
64.686,144.826,-2.533,-5.902
65.685,150.336,-2.366,-5.264
66.684,151.237,-2.543,-5.450
67.684,150.596,-2.678,-4.801
68.683,149.417,-1.671,-2.895
69.682,137.434,0.313,-2.732
70.681,126.580,0.079,-2.492
71.681,117.637,0.251,-2.140
72.680,107.074,-0.403,-4.300
73.679,96.006,0.473,-4.138
74.679,86.262,-0.042,-2.659
75.678,79.399,-0.362,-2.792
76.677,76.167,-0.309,-4.029
77.676,76.614,-0.194,-4.309
78.675,75.783,0.020,-3.453
79.675,76.591,0.592,-3.849
80.674,82.648,0.449,-1.325
81.691,87.159,1.193,-4.704
82.690,102.560,-0.139,-6.978
83.689,114.166,-0.991,-8.301
84.689,120.601,0.328,-8.915
85.688,126.976,-0.201,-5.303
86.687,133.503,0.844,-6.025
87.687,144.689,3.419,-6.210
88.685,159.827,3.852,-4.414
89.685,168.777,2.182,-6.473
90.684,174.022,2.386,-7.238
91.684,177.173,1.686,-6.441
92.683,178.700,2.276,-7.182
93.683,-179.124,1.189,-6.656
94.683,171.576,2.804,-9.463
95.682,154.961,2.375,-8.233
96.680,141.392,1.122,-6.167
97.680,129.888,0.816,-5.122
98.679,127.254,-1.787,-3.209
99.695,129.194,-6.270,-1.281
100.694,130.740,17.001,-3.025
101.694,128.087,-2.832,-7.349
102.693,128.494,1.392,-11.878
103.692,129.800,3.709,4.143
104.692,121.555,0.854,-12.890
105.691,135.106,4.918,-2.322
106.691,125.545,6.360,-1.350
107.690,123.643,9.476,-6.586
108.689,137.363,5.017,-2.018
109.688,117.981,-8.557,0.170
110.688,131.741,17.404,-9.251
111.687,117.487,-1.866,-0.886
112.687,127.816,7.619,-7.001
113.685,139.326,4.588,-6.688
114.685,122.056,2.345,-3.995
115.684,121.150,2.117,-0.966
116.683,121.214,2.234,-2.489
117.699,120.274,2.326,-2.392
