time,Azimuth:,Pitch:,Roll:
0.777,137.056,2.315,-2.879
1.777,135.619,2.319,-2.785
2.769,136.114,2.162,-2.656
3.768,135.261,3.518,-3.754
4.767,135.224,2.899,-6.910
5.767,137.051,9.667,-5.173
6.766,140.900,24.246,-4.661
7.766,139.314,2.097,-7.824
8.765,131.104,-21.884,-8.755
9.764,129.237,-35.329,-7.995
10.763,132.814,-26.446,-7.076
11.762,138.686,1.051,-6.170
12.762,136.300,1.197,-1.769
13.761,137.888,-0.115,25.001
14.760,137.786,1.749,35.071
15.760,136.647,4.349,5.342
16.759,136.897,4.042,-7.911
17.758,135.085,2.146,-38.352
18.774,136.162,2.063,-38.622
19.773,136.737,2.585,-6.746
20.773,105.742,1.088,-4.417
21.772,91.774,-0.282,-4.591
22.772,130.806,3.303,-2.762
23.772,144.420,2.352,-1.888
24.771,158.200,3.119,-2.341
25.770,140.245,2.656,-6.563
26.769,128.158,2.729,-6.059
27.768,126.737,-16.220,-4.777
28.768,122.683,-35.473,-6.966
29.768,125.251,-27.609,-7.062
30.766,130.782,3.963,-5.348
31.766,131.120,9.585,-5.716
32.764,134.001,46.162,-0.917
33.764,133.657,39.812,-1.027
34.763,131.369,3.687,-4.091
35.763,130.899,4.441,13.149
36.763,133.165,0.748,36.048
37.778,131.926,4.489,3.771
38.777,129.833,4.485,-5.406
39.777,127.337,4.801,-43.980
40.776,128.884,4.079,-39.955
41.775,129.609,3.440,-4.065
42.774,80.999,1.489,-6.043
43.774,96.128,0.442,-5.288
44.773,128.455,1.835,-7.112
45.773,148.493,2.991,-4.826
46.772,135.295,3.585,-6.941
47.772,125.509,-1.853,4.195
48.771,130.133,4.023,-5.070
49.770,120.717,3.550,-25.805
50.770,131.580,-2.031,9.267
51.769,124.428,3.109,-24.058
52.768,119.406,-0.433,-1.595
53.767,130.546,-4.040,15.803
54.767,131.281,15.430,-5.003
55.783,116.792,25.803,21.497
56.782,121.384,-28.029,2.651
57.781,134.560,17.971,-20.932
58.781,122.404,-4.462,12.402
59.780,122.989,3.804,-3.244
60.780,122.214,2.356,-2.753
61.779,124.882,3.033,-3.057
62.778,121.850,2.545,-2.904
63.778,121.622,3.468,-0.764
